State	District	City	Longitude	Latitude
Arunachal Pradesh	Anjaw	Hawai	96.372	28.073
Arunachal Pradesh	Bichom	Napangphung	93.38	27.35
Arunachal Pradesh	Changlang	Changlang	95.735	27.117
Arunachal Pradesh	Dibang Valley	Anini	95.902	28.782
Arunachal Pradesh	East Kameng	Seppa	93.047	27.365
Arunachal Pradesh	East Siang	Pasighat	95.326	28.066
Arunachal Pradesh	Kamle	Raga	93.338	27.562
Arunachal Pradesh	Keyi Panyor	Yachuli	93.63	27.5
Arunachal Pradesh	Kra Daadi	Jamin	93.7	27.7
Arunachal Pradesh	Kurung Kumey	Koloriang	93.35	27.917
Arunachal Pradesh	Leparada	Basar	94.677	27.991
Arunachal Pradesh	Lohit	Tezu	96.164	27.912
Arunachal Pradesh	Longding	Longding	96.216	27.882
Arunachal Pradesh	Lower Dibang Valley	Roing	95.844	28.14
Arunachal Pradesh	Lower Siang	Likabali	94.799	27.646
Arunachal Pradesh	Lower Subansiri	Ziro	93.831	27.545
Arunachal Pradesh	Namsai	Namsai	95.865	27.669
Arunachal Pradesh	Pakke Kessang	Lemmi	93.221	27.159
Arunachal Pradesh	Papum Pare	Yupia	93.719	27.147
Arunachal Pradesh	Shi Yomi	Tato	94.13	28.18
Arunachal Pradesh	Siang	Boleng	93.78	28.39
Arunachal Pradesh	Tawang	Tawang Town	91.859	27.586
Arunachal Pradesh	Tirap	Khonsa	95.566	27.017
Arunachal Pradesh	Upper Siang	Yingkiong	95.037	28.615
Arunachal Pradesh	Upper Subansiri	Daporijo	94.223	27.984
Arunachal Pradesh	West Kameng	Bomdila	92.424	27.264
Arunachal Pradesh	West Siang	Aalo	94.802	28.171
Assam	Bajali	Pathsala	91.17	26.49
Assam	Baksa	Mushalpur	91	26.69
Assam	Barpeta	Barpeta	91.006	26.322
Assam	Biswanath	Biswanath Chariali	93.147	26.727
Assam	Bongaigaon	Bongaigaon	90.558	26.478
Assam	Cachar	Silchar	92.779	24.833
Assam	Charaideo	Sonari	94.824	27.061
Assam	Chirang	Kajalgaon	90.27	26.398
Assam	Darrang	Mangaldoi	92.031	26.442
Assam	Dhemaji	Dhemaji	94.583	27.483
Assam	Dhubri	Dhubri	89.976	26.02
Assam	Dibrugarh	Dibrugarh	94.912	27.472
Assam	Dima Hasao	Haflong	93.017	25.168
Assam	Goalpara	Goalpara	90.626	26.164
Assam	Golaghat	Golaghat	93.964	26.512
Assam	Hailakandi	Hailakandi	92.562	24.684
Assam	Hojai	Srimanta Sankardev Nagar	92.86	26
Assam	Jorhat	Jorhat	94.203	26.75
Assam	Kamrup	Amingaon	91.69	26.19
Assam	Kamrup Metro	Guwahati	91.736	26.145
Assam	Karbi Anglong	Diphu	93.431	25.843
Assam	Karimganj	Karimganj	92.355	24.869
Assam	Kokrajhar	Kokrajhar	90.272	26.402
Assam	Lakhimpur	North Lakhimpur	94.105	27.235
Assam	Majuli	Garamur	94.22	26.95
Assam	Marigaon	Morigaon	92.342	26.25
Assam	Nagaon	Nagaon	92.684	26.35
Assam	Nalbari	Nalbari	91.441	26.445
Assam	Sivasagar	Sivasagar	94.637	26.984
Assam	Sonitpur	Tezpur	92.8	26.633
Assam	South Salmara-Mankachar	Hatsingimari	89.88	25.535
Assam	Tinsukia	Tinsukia	95.36	27.49
Assam	Udalguri	Udalguri	92.102	26.753
Assam	West Karbi Anglong	Hamren	92.88	25.842
Manipur	Bishnupur	Bishnupur	93.77	24.625
Manipur	Chandel	Chandel	94.004	24.327
Manipur	Churachandpur	Churachandpur	93.683	24.333
Manipur	Imphal East	Porompat	94.01	24.774
Manipur	Imphal West	Lamphelpat	93.936	24.817
Manipur	Jiribam	Jiribam	93.117	24.799
Manipur	Kakching	Kakching	94.008	24.498
Manipur	Kamjong	Kamjong	94.346	24.889
Manipur	Kangpokpi	Kangpokpi	93.983	24.524
Manipur	Noney	Noney (Longmai)	93.64	24.792
Manipur	Pherzawl	Pherzawl	92.551	24.322
Manipur	Senapati	Senapati	94.018	25.267
Manipur	Tamenglong	Tamenglong	93.55	24.983
Manipur	Tengnoupal	Tengnoupal	94.175	24.315
Manipur	Thoubal	Thoubal	94.01	24.638
Manipur	Ukhrul	Ukhrul	94.362	25.096
Meghalaya	East Garo Hills	Williamnagar	90.603	25.532
Meghalaya	East Jaintia Hills	Khliehriat	92.368	25.369
Meghalaya	East Khasi Hills	Shillong	91.893	25.578
Meghalaya	Eastern West Khasi Hills	Mairang	91.636	25.561
Meghalaya	North Garo Hills	Resubelpara	90.61	25.9
Meghalaya	Ri Bhoi	Nongpoh	91.88	25.902
Meghalaya	South Garo Hills	Baghmara	90.64	25.196
Meghalaya	South West Garo Hills	Ampati	89.86	25.3
Meghalaya	South West Khasi Hills	Mawkyrwat	91.27	25.34
Meghalaya	West Garo Hills	Tura	90.203	25.514
Meghalaya	West Jaintia Hills	Jowai	92.197	25.45
Meghalaya	West Khasi Hills	Nongstoin	91.264	25.518
Mizoram	Aizawl	Aizawl	92.717	23.727
Mizoram	Champhai	Champhai	93.328	23.466
Mizoram	Hnahthial	Hnahthial	92.93	22.98
Mizoram	Khawzawl	Khawzawl	93.18	23.52
Mizoram	Kolasib	Kolasib	92.679	24.224
Mizoram	Lawngtlai	Lawngtlai	92.89	22.53
Mizoram	Lunglei	Lunglei	92.75	22.89
Mizoram	Mamit	Mamit	92.49	23.93
Mizoram	Saitual	Saitual	92.98	23.69
Mizoram	Serchhip	Serchhip	92.84	23.3
Mizoram	Siaha	Siaha	92.98	22.49
Nagaland	Chumoukedima	Chumoukedima	93.77	25.86
Nagaland	Dimapur	Dimapur	93.726	25.912
Nagaland	Kiphire	Kiphire	94.78	25.86
Nagaland	Kohima	Kohima	94.108	25.675
Nagaland	Longleng	Longleng	94.82	26.12
Nagaland	Meluri	Meluri	94.49	25.73
Nagaland	Mokokchung	Mokokchung	94.53	26.32
Nagaland	Mon	Mon	95.03	26.71
Nagaland	Niuland	Niuland	93.74	25.76
Nagaland	Noklak	Noklak	95.26	25.91
Nagaland	Peren	Peren	93.74	25.51
Nagaland	Phek	Phek	94.51	25.67
Nagaland	Shamator	Shamator	94.99	26
Nagaland	Tseminyu	Tseminyu	94.16	26.58
Nagaland	Tuensang	Tuensang	94.82	26.27
Nagaland	Wokha	Wokha	94.26	26.1
Nagaland	Zunheboto	Zunheboto	94.52	25.97
Sikkim	Gangtok	Gangtok	88.613	27.331
Sikkim	Gyalshing	Gyalshing	88.257	27.29
Sikkim	Mangan	Mangan	88.53	27.508
Sikkim	Namchi	Namchi	88.35	27.166
Sikkim	Pakyong	Pakyong	88.615	27.231
Sikkim	Soreng	Soreng	88.195	27.167
Tripura	Dhalai	Ambassa	91.85	23.93
Tripura	Gomati	Udaipur	91.48	23.53
Tripura	Khowai	Khowai	91.6	24.07
Tripura	North Tripura	Dharmanagar	92.17	24.37
Tripura	Sepahijala	Bishramganj	91.36	23.63
Tripura	South Tripura	Belonia	91.45	23.25
Tripura	Unakoti	Kailashahar	92	24.33
Tripura	West Tripura	Agartala	91.286	23.831
