event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_name,admin_division_name,longitude,latitude,state_normalized,district,district_state,district_state_code,district_code,district_lgd,state_lgd,rainfall_7d,rainfall_48h,rainfall_24h,average_humidity_24h,soil_moisture,landslide
NEG_0036,2012-11-11 00:00:00,,,,,,,93.9873516377487,24.188679817955705,,Chandel,,,,,,22.5,0.7,0.0,84.75,0.454,0
NEG_0319,2011-06-28 00:00:00,,,,,,,89.93561467802851,25.690219362435215,,West Garo Hills,,,,,,68.8,18.9,11.0,88.54,0.404,0
5441,2013-09-02 00:00:00,landslide,downpour,large,unknown,India,Arunāchal Pradesh,94.9829,28.611,Arunachal Pradesh,Upper Siang,Arunachal Pradesh,12.0,252.0,240.0,12.0,117.8,41.2,30.2,97.54,0.428,1
4848,2013-05-08 00:00:00,landslide,rain,medium,unknown,India,Tripura,91.4663,24.0896,Tripura,West Tripura,Tripura,16.0,289.0,272.0,16.0,300.8,116.8,45.0,94.58,0.429,1
2573,2010-10-09 00:00:00,mudslide,downpour,medium,unknown,India,Assam,93.0083,25.1796,Assam,Dima Hasao,Assam,18.0,315.0,299.0,18.0,93.0,71.8,53.3,99.62,0.493,1
755,2008-08-28 00:00:00,landslide,downpour,medium,unknown,India,Sikkim,88.609,27.337,Sikkim,Gangtok,Sikkim,11.0,244.0,225.0,11.0,326.6,122.2,65.9,99.92,0.424,1
NEG_0022,2007-07-27 00:00:00,,,,,,,92.55179692542715,24.897913642265028,,Cachar,,,,,,258.4,74.4,36.2,93.42,0.487,0
6292,2014-09-23 00:00:00,landslide,continuous_rain,small,unknown,India,Assam,89.9032,25.7238,Assam,West Garo Hills,Meghalaya,17.0,293.0,278.0,17.0,101.4,57.4,43.8,95.46,0.397,1
9604,2016-10-12 00:00:00,landslide,continuous_rain,medium,above_road,India,Sikkim,88.2891,27.2676,Sikkim,Gyalshing,Sikkim,11.0,242.0,228.0,11.0,73.2,20.9,14.0,93.12,0.409,1
7591,2015-03-19 00:00:00,landslide,rain,small,unknown,India,Assam,92.4584,25.0318,Assam,Cachar,Assam,18.0,316.0,282.0,18.0,0.1,0.0,0.0,54.17,0.257,1
7972,2015-08-28 01:45:00,landslide,downpour,large,unknown,India,Mizoram,92.8112,23.4495,Mizoram,Aizawl,Mizoram,15.0,283.0,261.0,15.0,48.0,15.2,7.0,89.46,0.412,1
7372,2015-07-31 23:00:00,mudslide,continuous_rain,medium,above_road,India,Manipur,94.3415,25.0634,Manipur,Ukhrul,Manipur,14.0,279.0,260.0,14.0,152.2,67.9,40.5,99.92,0.417,1
NEG_0134,2015-06-19 00:00:00,,,,,,,92.09781563360085,26.145101793143247,,Kamrup Metro,,,,,,111.2,19.0,13.2,88.79,0.479,0
