event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_name,admin_division_name,longitude,latitude,state_normalized,district,district_state,district_state_code,district_code,district_lgd,state_lgd,rainfall_7d,rainfall_48h,rainfall_24h,average_humidity_24h,soil_moisture,landslide,elevation,slope
NEG_0036,2012-11-11 00:00:00,,,,,,,93.9873516377487,24.188679817955705,,Chandel,,,,,,22.5,0.7,0.0,84.75,0.454,0,892.0,8.93
NEG_0319,2011-06-28 00:00:00,,,,,,,89.93561467802851,25.690219362435215,,West Garo Hills,,,,,,68.8,18.9,11.0,88.54,0.404,0,54.0,7.26
5441,2013-09-02 00:00:00,landslide,downpour,large,unknown,India,Arunāchal Pradesh,94.9829,28.611,Arunachal Pradesh,Upper Siang,Arunachal Pradesh,12.0,252.0,240.0,12.0,117.8,41.2,30.2,97.54,0.428,1,1610.0,38.22
4848,2013-05-08 00:00:00,landslide,rain,medium,unknown,India,Tripura,91.4663,24.0896,Tripura,West Tripura,Tripura,16.0,289.0,272.0,16.0,300.8,116.8,45.0,94.58,0.429,1,107.0,1.82
2573,2010-10-09 00:00:00,mudslide,downpour,medium,unknown,India,Assam,93.0083,25.1796,Assam,Dima Hasao,Assam,18.0,315.0,299.0,18.0,93.0,71.8,53.3,99.62,0.493,1,696.0,6.31
755,2008-08-28 00:00:00,landslide,downpour,medium,unknown,India,Sikkim,88.609,27.337,Sikkim,Gangtok,Sikkim,11.0,244.0,225.0,11.0,326.6,122.2,65.9,99.92,0.424,1,1535.0,18.46
NEG_0022,2007-07-27 00:00:00,,,,,,,92.55179692542715,24.897913642265028,,Cachar,,,,,,258.4,74.4,36.2,93.42,0.487,0,11.0,0.38
6292,2014-09-23 00:00:00,landslide,continuous_rain,small,unknown,India,Assam,89.9032,25.7238,Assam,West Garo Hills,Meghalaya,17.0,293.0,278.0,17.0,101.4,57.4,43.8,95.46,0.397,1,30.0,3.14
9604,2016-10-12 00:00:00,landslide,continuous_rain,medium,above_road,India,Sikkim,88.2891,27.2676,Sikkim,Gyalshing,Sikkim,11.0,242.0,228.0,11.0,73.2,20.9,14.0,93.12,0.409,1,573.0,47.03
7591,2015-03-19 00:00:00,landslide,rain,small,unknown,India,Assam,92.4584,25.0318,Assam,Cachar,Assam,18.0,316.0,282.0,18.0,0.1,0.0,0.0,54.17,0.257,1,102.0,18.57
7972,2015-08-28 01:45:00,landslide,downpour,large,unknown,India,Mizoram,92.8112,23.4495,Mizoram,Aizawl,Mizoram,15.0,283.0,261.0,15.0,48.0,15.2,7.0,89.46,0.412,1,867.0,30.15
7372,2015-07-31 23:00:00,mudslide,continuous_rain,medium,above_road,India,Manipur,94.3415,25.0634,Manipur,Ukhrul,Manipur,14.0,279.0,260.0,14.0,152.2,67.9,40.5,99.92,0.417,1,1742.0,27.67
NEG_0134,2015-06-19 00:00:00,,,,,,,92.09781563360085,26.145101793143247,,Kamrup Metro,,,,,,111.2,19.0,13.2,88.79,0.479,0,51.0,0.0
9338,2016-05-18 08:00:00,landslide,continuous_rain,medium,natural_slope,India,Assam,92.4943,24.4638,Assam,Sribhumi,Assam,18.0,317.0,293.0,18.0,93.7,38.7,30.7,87.79,0.427,1,90.0,15.31
NEG_0030,2013-05-11 00:00:00,,,,,,,94.13314482092387,23.917660990833987,,Chandel,,,,,,140.1,32.0,25.3,93.79,0.439,0,571.0,14.96
NEG_0066,2012-06-25 00:00:00,,,,,,,92.27331814011411,25.224308004049195,,East Jaintia Hills,,,,,,193.2,151.0,99.2,98.08,0.502,0,817.0,10.57
NEG_0098,2011-07-25 00:00:00,,,,,,,92.64547150286984,24.340682345707364,,Hailakandi,,,,,,222.5,8.9,1.8,85.88,0.401,0,76.0,4.25
NEG_0268,2015-03-19 00:00:00,,,,,,,90.37284627810882,25.392611434909085,,South Garo Hills,,,,,,0.0,0.0,0.0,60.46,0.271,0,384.0,30.71
NEG_0302,2013-09-24 00:00:00,,,,,,,94.86052174484196,26.22314786700445,,Tuensang,,,,,,41.1,4.0,1.8,87.12,0.423,0,2059.0,29.76
NEG_0190,2014-09-22 00:00:00,,,,,,,93.8359115290164,27.558907938880647,,Lower Subansiri,,,,,,131.2,82.3,49.2,99.96,0.429,0,1555.0,1.27
NEG_0196,2011-08-05 00:00:00,,,,,,,94.57875150292136,25.60840769345552,,Meluri,,,,,,44.2,10.5,5.9,87.75,0.492,0,791.0,23.72
7837,2015-08-27 00:00:00,landslide,downpour,medium,urban,India,Mizoram,92.7265,23.7269,Mizoram,Aizawl,Mizoram,15.0,283.0,261.0,15.0,67.3,17.8,7.3,93.29,0.418,1,898.0,25.78
269,2007-09-18 00:00:00,landslide,rain,medium,unknown,India,Sikkim,88.2816,27.2872,Sikkim,Namchi,Sikkim,11.0,243.0,227.0,11.0,50.5,16.1,3.5,91.25,0.415,1,574.0,12.77
NEG_0067,2016-07-19 00:00:00,,,,,,,92.96778490932093,27.24336271204924,,East Kameng,,,,,,222.9,69.2,43.7,99.33,0.43,0,1033.0,36.86
NEG_0281,2015-09-05 00:00:00,,,,,,,93.56029319973553,25.096398263976297,,Tamenglong,,,,,,110.5,14.3,2.9,96.67,0.41,0,1291.0,12.11
1776,2010-04-21 00:00:00,landslide,downpour,medium,unknown,India,Meghālaya,92.2845,25.3612,Meghalaya,East Jaintia Hills,Meghalaya,17.0,714.0,657.0,17.0,213.3,121.2,57.3,98.42,0.514,1,1227.0,2.5
4798,2013-04-07 00:00:00,landslide,rain,medium,unknown,India,Arunachal Pradesh,96.1509,28.8254,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,12.0,257.0,230.0,12.0,117.8,37.1,12.5,86.38,0.387,1,3620.0,34.13
4313,2012-04-08 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,95.86,28.4659,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,12.0,257.0,230.0,12.0,120.9,79.0,26.3,85.92,0.428,1,1026.0,34.44
NEG_0262,2010-07-19 06:00:00,,,,,,,94.31462694205408,25.367492894916527,,Senapati,,,,,,87.8,29.1,10.8,97.25,0.472,0,1340.0,23.34
NEG_0075,2015-06-19 00:00:00,,,,,,,91.66152115882812,25.14459025642732,,East Khasi Hills,,,,,,267.7,15.3,3.1,83.33,0.435,0,40.0,1.99
4858,2013-05-11 09:00:00,landslide,rain,medium,unknown,India,Assam,91.7138,26.1662,Assam,Kamrup Metro,Assam,18.0,322.0,618.0,18.0,64.4,29.9,19.4,86.17,0.472,1,165.0,22.23
NEG_0158,2016-07-20 00:00:00,,,,,,,94.05401094676417,25.719010514510153,,Kohima,,,,,,34.3,6.4,5.0,80.21,0.489,0,789.0,22.25
6284,2014-09-22 00:00:00,landslide,rain,small,unknown,India,Assam,91.8342,26.1324,Assam,Kamrup Metro,Assam,18.0,322.0,618.0,18.0,128.7,86.3,27.7,92.58,0.469,1,71.0,4.59
2045,2010-07-06 00:00:00,mudslide,monsoon,medium,unknown,India,Nāgāland,94.8133,26.2363,Nagaland,Tuensang,Nagaland,13.0,267.0,249.0,13.0,98.3,13.8,4.1,88.12,0.503,1,1560.0,10.12
NEG_0017,2010-06-07 00:00:00,,,,,,,96.632888390271,28.168024149801433,,Anjaw,,,,,,116.4,66.2,41.8,93.42,0.426,0,2380.0,22.21
580,2008-06-09 00:00:00,landslide,monsoon,medium,unknown,India,Manipur,93.9784,24.6596,Manipur,Thoubal,Manipur,14.0,276.0,259.0,14.0,43.0,22.4,15.0,91.21,0.485,1,777.0,0.85
1756,2010-04-17 00:00:00,landslide,downpour,small,unknown,India,Sikkim,88.6087,27.322,Sikkim,Gangtok,Sikkim,11.0,244.0,225.0,11.0,32.9,3.7,1.9,76.21,0.383,1,1477.0,24.64
NEG_0325,2016-07-10 00:00:00,,,,,,,92.3306806236301,25.59562354143025,,West Jaintia Hills,,,,,,144.2,29.8,13.8,90.12,0.461,0,1107.0,1.76
4845,2013-05-07 00:00:00,mudslide,rain,medium,unknown,India,Mizoram,92.6755,24.2315,Mizoram,Kolasib,Mizoram,15.0,282.0,263.0,15.0,49.8,32.1,11.2,92.58,0.392,1,680.0,8.69
