event_id,event_date,district,latitude,longitude,landslide,rainfall_24h,rainfall_48h,rainfall_7d,average_humidity_24h,soil_moisture
NEG_0001,2016-06-12 00:00:00,Aizawl,23.56387152816037,92.7208129153357,0,8.0,53.7,118.3,92.12,0.422
NEG_0002,2008-10-29 00:00:00,Aizawl,24.295396041516685,92.89814320478648,0,1.3,9.6,96.7,90.21,0.408
NEG_0003,2014-09-24 00:00:00,Aizawl,23.934033695117968,92.86517296821184,0,9.0,9.0,53.4,90.46,0.416
NEG_0004,2015-09-23 15:00:00,Aizawl,23.778966580178743,92.9090149222461,0,3.4,7.6,77.1,90.17,0.412
NEG_0005,2010-09-13 09:00:00,Aizawl,23.6921541498751,92.9076085455244,0,9.8,17.2,55.3,94.04,0.424
NEG_0006,2015-08-26 00:00:00,Aizawl,23.735613735768663,92.64451635891994,0,10.5,17.2,78.3,92.12,0.417
NEG_0007,2013-09-01 00:00:00,Aizawl,23.98047757948749,92.973546129001,0,0.5,3.3,56.3,84.79,0.392
NEG_0008,2015-08-12 00:00:00,Aizawl,23.906675146994612,92.92155602880102,0,19.2,39.2,89.1,92.12,0.424
NEG_0009,2012-06-13 00:00:00,Aizawl,24.288059808591733,92.87692570090424,0,2.3,3.1,37.5,86.79,0.39
NEG_0010,2010-07-06 00:00:00,Aizawl,23.4065050457272,92.72715200375066,0,12.2,12.8,45.8,92.29,0.415
NEG_0011,2016-08-05 00:00:00,Aizawl,23.73583158921991,92.9819295699364,0,8.4,13.7,33.8,87.96,0.413
NEG_0012,2010-08-13 00:00:00,Aizawl,23.71908114529014,92.88003578721978,0,13.4,20.0,69.6,92.0,0.422
NEG_0013,2011-06-28 00:00:00,Aizawl,24.06770022415593,92.90923360605434,0,22.6,39.9,82.5,96.42,0.421
NEG_0014,2010-10-08 00:00:00,Aizawl,23.929336748201745,92.88194092287972,0,23.8,52.7,91.9,99.58,0.43
NEG_0015,2011-09-06 08:00:00,Aizawl,24.168650497669283,92.97149657096976,0,23.1,27.6,83.2,93.21,0.424
NEG_0016,2015-08-19 00:00:00,Aizawl,24.20034977468548,92.96220366501768,0,3.3,6.7,49.7,86.96,0.406
NEG_0017,2010-06-07 00:00:00,Anjaw,28.168024149801433,96.632888390271,0,41.8,66.2,116.4,93.42,0.426
NEG_0018,2010-09-10 00:00:00,Anjaw,28.157424271246036,97.281647172359,0,1.0,1.6,44.3,85.75,0.396
NEG_0019,2010-09-13 00:00:00,Anjaw,27.83682384149718,96.91366205304566,0,13.9,34.5,79.8,90.54,0.411
NEG_0020,2012-06-13 00:00:00,Barpeta,26.40352218698635,90.922996053456,0,61.9,77.1,137.3,92.33,0.43
NEG_0021,2010-08-15 23:00:00,Bichom,27.19029382582536,92.86458745508028,0,39.7,81.0,143.7,96.42,0.425
NEG_0022,2007-07-27 00:00:00,Cachar,24.897913642265028,92.55179692542715,0,36.2,74.4,258.4,93.42,0.487
NEG_0023,2014-09-22 00:00:00,Cachar,24.787519737577338,92.99352285150827,0,5.3,13.2,44.2,89.88,0.488
NEG_0024,2010-10-08 00:00:00,Cachar,24.63597804237234,93.06708765130792,0,8.3,17.7,29.8,95.96,0.43
NEG_0025,2013-08-04 00:00:00,Cachar,24.723438265453822,92.7844445879258,0,5.1,16.9,82.1,83.92,0.471
NEG_0026,2012-06-25 18:00:00,Cachar,24.960547966350475,93.23920438710424,0,31.9,43.7,125.1,99.17,0.425
NEG_0027,2010-08-19 00:00:00,Champhai,23.135098120595668,93.32273094457986,0,1.1,4.0,80.4,90.79,0.404
NEG_0028,2015-06-16 00:00:00,Chandel,24.34633430615902,94.01540834806936,0,11.8,22.4,81.7,88.67,0.489
NEG_0029,2010-04-20 00:00:00,Chandel,23.990980456120443,94.15443013990873,0,9.1,13.7,25.8,84.08,0.401
NEG_0030,2013-05-11 00:00:00,Chandel,23.917660990833987,94.13314482092387,0,25.3,32.0,140.1,93.79,0.439
NEG_0031,2010-07-21 08:00:00,Chandel,24.233060213456955,94.00932267294522,0,16.1,29.7,80.3,96.67,0.461
NEG_0032,2013-08-16 00:00:00,Chandel,24.30310116627508,94.09364890786838,0,12.2,33.5,109.5,96.75,0.434
NEG_0033,2013-06-01 00:00:00,Chandel,24.174407016038685,93.9627523904574,0,1.1,17.1,53.0,83.08,0.475
NEG_0034,2007-07-30 00:00:00,Chandel,23.87174603199583,94.10299341745528,0,8.1,20.6,82.9,89.17,0.492
NEG_0035,2010-08-17 00:00:00,Chandel,23.99002500654674,93.77181914558533,0,23.9,42.7,107.1,99.04,0.419
NEG_0036,2012-11-11 00:00:00,Chandel,24.188679817955705,93.9873516377487,0,0.0,0.7,22.5,84.75,0.454
NEG_0037,2010-11-22 00:00:00,Chandel,23.993320040773128,94.03455800285089,0,1.8,2.7,4.0,89.71,0.345
NEG_0038,2010-04-17 15:00:00,Chandel,23.95860908872156,94.15480561540306,0,3.5,5.5,5.7,70.29,0.358
NEG_0039,2016-06-12 23:00:00,Changlang,27.554300585586216,96.24727533866576,0,0.9,2.3,25.2,76.92,0.472
NEG_0040,2007-09-08 00:00:00,Chumoukedima,25.73854121875132,93.58907354508575,0,21.4,74.7,136.1,94.21,0.47
NEG_0041,2007-09-11 00:00:00,Chumoukedima,25.77037212334036,93.6359557483935,0,6.5,24.3,171.8,84.75,0.486
NEG_0042,2012-09-19 00:00:00,Chumoukedima,25.708986051406455,93.7518334026932,0,2.2,15.7,91.0,84.62,0.473
NEG_0043,2015-08-22 09:00:00,Dibang Valley,28.760486101460767,95.56662294024936,0,32.5,113.1,627.9,92.79,0.427
NEG_0044,2015-09-06 15:00:00,Dibang Valley,28.75407748624682,95.53569517004132,0,14.5,21.3,194.8,94.29,0.427
NEG_0045,2011-07-11 09:00:00,Dibang Valley,28.615892565810945,96.31651098724696,0,6.4,28.7,123.7,92.62,0.414
NEG_0046,2013-07-15 00:00:00,Dibang Valley,28.856152125323327,96.14807407234514,0,19.3,29.8,102.2,95.54,0.427
NEG_0047,2015-09-01 00:00:00,Dibang Valley,28.92228451840578,96.03507357401928,0,19.6,48.1,133.3,93.08,0.428
NEG_0048,2013-09-02 00:00:00,Dima Hasao,25.471373470398007,92.57512165491632,0,12.4,16.3,91.6,86.75,0.508
NEG_0049,2008-06-15 00:00:00,Dima Hasao,25.42595693853939,93.3968749363575,0,4.1,6.7,73.0,87.25,0.499
NEG_0050,2007-07-19 00:00:00,Dima Hasao,25.48066630560379,92.69774267164382,0,3.3,4.1,51.7,85.58,0.489
NEG_0051,2010-08-06 00:00:00,Dima Hasao,25.31686424242061,93.34200897116156,0,4.0,13.9,45.0,85.79,0.493
NEG_0052,2010-06-15 00:00:00,Dima Hasao,25.480224722949483,92.75529862208836,0,3.8,16.8,80.7,86.96,0.507
NEG_0053,2013-05-11 09:00:00,Dima Hasao,25.2419327084764,93.05933731819876,0,75.4,173.5,439.8,98.38,0.49
NEG_0054,2010-03-27 20:00:00,Dima Hasao,25.584314333924116,92.71531169496656,0,0.8,1.3,1.9,68.04,0.306
NEG_0055,2015-08-01 00:00:00,Dima Hasao,25.36266242521681,93.13584351131615,0,63.5,81.6,113.5,99.54,0.508
NEG_0056,2015-08-02 00:00:00,Dima Hasao,25.056227491174266,93.0572088594076,0,7.5,77.2,112.2,93.29,0.447
NEG_0057,2015-07-22 00:00:00,Dima Hasao,25.198044501157,92.72378931369168,0,49.7,83.2,371.1,90.71,0.481
