event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_name,admin_division_name,longitude,latitude,state_normalized
2164,2010-07-29 23:00:00,landslide,downpour,medium,unknown,India,Manipur,94.48214677,25.3098633,Manipur
5122,2013-07-17 00:00:00,mudslide,rain,medium,unknown,India,Nāgāland,93.9413,25.7658,Nagaland
5123,2013-07-17 00:00:00,mudslide,rain,medium,unknown,India,Nāgāland,94.0885,25.7131,Nagaland
7370,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,India,Manipur,94.1078,24.1419,Manipur
5084,2013-07-12 23:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1167,25.616,Nagaland
2566,2010-10-08 00:00:00,mudslide,downpour,medium,unknown,India,Nāgāland,94.1351,25.4769,Nagaland
1109,2009-08-20 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.1645,25.5215,Assam
1961,2010-06-09 14:15:00,landslide,downpour,medium,unknown,India,Meghālaya,91.2,25.8833,Meghalaya
2578,2010-10-09 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.0462,25.3179,Nagaland
322,2007-10-21 00:00:00,landslide,rain,medium,unknown,India,Assam,93.4333,24.75,Assam
5552,2013-09-24 00:00:00,landslide,unknown,medium,unknown,India,Manipur,94.3619,25.0985,Manipur
7031,2015-05-24 00:00:00,landslide,unknown,medium,above_road,India,Sikkim,88.6586,27.6163,Sikkim
2025,2010-06-28 00:00:00,landslide,downpour,medium,unknown,India,Meghālaya,91.885,25.5728,Meghalaya
9405,2016-04-19 00:00:00,landslide,continuous_rain,medium,unknown,India,Nagaland,95.0243,26.7223,Nagaland
5343,2013-08-17 23:00:00,landslide,continuous_rain,medium,unknown,India,Assam,93.4341,24.7625,Assam
6971,2015-06-09 00:00:00,landslide,continuous_rain,medium,above_road,India,Arunachal Pradesh,93.816,27.0987,Arunachal Pradesh
1611,2010-04-01 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.028,25.1553,Assam
147,2007-07-30 00:00:00,landslide,downpour,medium,unknown,India,Mizoram,92.899,22.533,Mizoram
4382,2012-06-03 00:00:00,landslide,downpour,medium,unknown,India,Assam,92.8573,25.1175,Assam
1112,2009-08-20 00:00:00,mudslide,downpour,medium,unknown,India,Sikkim,88.5287,27.1761,Sikkim
2424,2010-09-13 00:00:00,landslide,downpour,medium,unknown,India,Mizoram,92.9296,23.591,Mizoram
78,2007-05-23 00:00:00,landslide,rain,medium,unknown,India,Sikkim,88.6069,27.3383,Sikkim
5431,2013-09-01 00:00:00,mudslide,continuous_rain,medium,unknown,India,Assam,93.5063,24.9829,Assam
3672,2011-06-29 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.3613,25.5125,Assam
2253,2010-08-15 23:00:00,landslide,downpour,medium,unknown,India,Manipur,94.48265093,25.31006064,Manipur
1108,2009-08-20 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.5,24.9925,Assam
6105,2014-06-26 23:00:00,landslide,continuous_rain,medium,above_road,India,Arunachal Pradesh,95.3429,28.9205,Arunachal Pradesh
9168,2016-06-12 23:00:00,landslide,downpour,medium,above_road,India,Arunachal Pradesh,93.871,27.6438,Arunachal Pradesh
3560,2011-05-31 14:30:00,landslide,downpour,medium,unknown,India,Manipur,93.5935,24.8286,Manipur
587,2008-06-15 00:00:00,landslide,downpour,medium,unknown,India,Assam,94.0989,27.2298,Assam
8012,2015-09-06 15:00:00,landslide,unknown,medium,above_road,India,Meghalaya,91.8584,25.9703,Meghalaya
7335,2015-08-18 09:00:00,landslide,continuous_rain,medium,urban,India,Meghalaya,90.2023,25.5145,Meghalaya
141,2007-07-26 00:00:00,landslide,rain,medium,unknown,India,Meghālaya,91.88,25.38,Meghalaya
3983,2011-09-23 00:00:00,landslide,downpour,large,unknown,India,Assam,91.7351,26.1548,Assam
148,2007-07-30 00:00:00,landslide,downpour,medium,unknown,India,Mizoram,92.967,22.479,Mizoram
1775,2010-04-21 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,96.1779,27.8965,Arunachal Pradesh
3663,2011-06-28 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1099,25.6682,Nagaland
7385,2015-08-01 00:00:00,landslide,continuous_rain,medium,unknown,India,Manipur,93.9815,24.004,Manipur
2575,2010-10-09 00:00:00,landslide,downpour,medium,unknown,India,Assam,92.9914,25.5242,Assam
3840,2011-07-25 00:00:00,landslide,downpour,medium,unknown,India,Manipur,93.9157,24.6869,Manipur
6015,2014-05-08 00:00:00,mudslide,rain,medium,above_road,India,Arunachal Pradesh,96.174,27.9032,Arunachal Pradesh
3741,2011-07-07 00:00:00,landslide,rain,medium,unknown,India,Nāgāland,94.1079,25.4191,Nagaland
2106,2010-07-20 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.9921,26.8716,Nagaland
9051,2016-07-19 09:00:00,landslide,unknown,medium,natural_slope,India,Meghalaya,91.8744337,26.09748244,Meghalaya
870,2008-10-29 00:00:00,mudslide,downpour,medium,unknown,India,Arunāchal Pradesh,92.35,27.4,Arunachal Pradesh
2392,2010-09-04 00:00:00,landslide,downpour,medium,unknown,India,Sikkim,88.7334,27.3702,Sikkim
3830,2011-07-22 00:00:00,landslide,downpour,small,unknown,India,Manipur,94.3429,24.3527,Manipur
4906,2013-06-07 00:00:00,landslide,unknown,medium,unknown,India,Nāgāland,94.7499,26.0977,Nagaland
3269,2011-03-22 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,96.5242,28.0791,Arunachal Pradesh
1755,2010-04-17 15:00:00,landslide,downpour,small,unknown,India,Sikkim,88.6083,27.3341,Sikkim
6990,2015-06-24 00:00:00,landslide,continuous_rain,medium,above_road,India,Nagaland,94.5466,26.0319,Nagaland
6222,2014-10-01 11:00:00,landslide,unknown,small,above_road,India,Arunachal Pradesh,93.7706,27.1249,Arunachal Pradesh
9169,2016-06-12 00:00:00,landslide,continuous_rain,unknown,above_road,India,Nagaland,94.2442,26.1677,Nagaland
4435,2012-06-25 00:00:00,landslide,downpour,large,unknown,India,Arunāchal Pradesh,95.8011,27.174,Arunachal Pradesh
4313,2012-04-08 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,95.86,28.4659,Arunachal Pradesh
2344,2010-08-27 16:30:00,landslide,downpour,medium,unknown,India,Assam,93.4221,24.7505,Assam
7263,2015-07-22 00:00:00,landslide,continuous_rain,medium,above_road,India,Manipur,94.0489,25.4477,Manipur
5271,2013-08-04 00:00:00,landslide,continuous_rain,medium,unknown,India,Nāgāland,94.5808,26.284,Nagaland
4424,2012-06-20 00:00:00,landslide,downpour,medium,unknown,India,Assam,91.7351,26.149,Assam
3525,2011-05-22 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.4093,25.0672,Assam
7369,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,India,Manipur,94.1016,24.1988,Manipur
4892,2013-06-01 00:00:00,landslide,downpour,large,unknown,India,Arunāchal Pradesh,94.25,27.8776,Arunachal Pradesh
4377,2012-06-02 00:00:00,landslide,downpour,large,unknown,India,Assam,91.7356,26.1475,Assam
5430,2013-09-01 00:00:00,mudslide,continuous_rain,medium,unknown,India,Manipur,93.487,24.9037,Manipur
7264,2015-07-22 00:00:00,landslide,continuous_rain,medium,above_road,India,Manipur,93.9827,25.4538,Manipur
5006,2013-07-01 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.3864,26.1147,Nagaland
256,2007-09-10 00:00:00,landslide,rain,medium,unknown,India,Sikkim,88.6236,27.3425,Sikkim
9335,2016-05-18 08:00:00,landslide,continuous_rain,unknown,unknown,India,Assam,92.7239,24.5202,Assam
7279,2015-07-24 00:00:00,mudslide,monsoon,medium,other,India,Manipur,93.5142,24.9818,Manipur
6288,2014-09-22 00:00:00,landslide,rain,small,unknown,India,Assam,91.7998,26.1985,Assam
5087,2013-07-12 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1139,25.6269,Nagaland
258,2007-09-11 00:00:00,landslide,rain,medium,unknown,India,Manipur,94.0564,24.4279,Manipur
5338,2013-08-16 00:00:00,landslide,rain,medium,unknown,India,Assam,94.9275,26.8727,Assam
2411,2010-09-10 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,93.7273,27.0011,Arunachal Pradesh
6143,2014-07-14 18:00:00,landslide,downpour,medium,unknown,India,Mizoram,92.7463,23.7327,Mizoram
4908,2013-06-08 17:00:00,landslide,downpour,medium,unknown,India,Sikkim,88.708,27.3721,Sikkim
9124,2016-07-19 00:00:00,translational_slide,continuous_rain,large,natural_slope,India,Meghalaya,90.5573,25.203,Meghalaya
2282,2010-08-19 06:30:00,landslide,downpour,medium,unknown,India,Nāgāland,94.8158,26.1984,Nagaland
9338,2016-05-18 08:00:00,landslide,continuous_rain,medium,natural_slope,India,Assam,92.4943,24.4638,Assam
2421,2010-09-13 09:00:00,landslide,downpour,medium,above_road,India,Mizoram,92.74128531,23.75406693,Mizoram
2249,2010-08-14 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.803,26.0814,Nagaland
8901,2016-07-10 00:00:00,landslide,downpour,medium,above_road,India,Nagaland,94.1318,25.7902,Nagaland
2283,2010-08-19 00:00:00,mudslide,downpour,medium,unknown,India,Manipur,93.4957,24.8961,Manipur
4552,2012-09-14 00:00:00,landslide,downpour,medium,unknown,India,Sikkim,88.3603,27.0377,Sikkim
6016,2014-05-09 23:00:00,landslide,rain,small,unknown,India,Assam,92.3576,24.8669,Assam
215,2007-08-28 00:00:00,landslide,rain,medium,unknown,India,Nāgāland,93.9136,25.7428,Nagaland
7780,2015-08-26 00:00:00,landslide,continuous_rain,medium,above_road,India,Mizoram,92.7878,23.3572,Mizoram
2281,2010-08-19 18:00:00,landslide,downpour,medium,above_road,India,Nāgāland,94.11603493,25.61560252,Nagaland
1996,2010-06-17 19:30:00,landslide,downpour,medium,unknown,India,Nāgāland,94.8833,26.4333,Nagaland
6283,2014-09-22 00:00:00,landslide,rain,small,unknown,India,Assam,91.7548,26.1314,Assam
8930,2016-07-11 23:00:00,landslide,unknown,large,unknown,India,Nagaland,94.4922,26.1699,Nagaland
869,2008-10-29 00:00:00,landslide,downpour,medium,unknown,India,Assam,94.1167,27.2333,Assam
285,2007-09-29 00:00:00,landslide,rain,medium,unknown,India,Mizoram,92.6921,24.1293,Mizoram
3662,2011-06-28 00:00:00,landslide,rain,medium,below_road,India,Manipur,94.0144205,25.03561729,Manipur
5427,2013-08-15 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1884,25.3833,Nagaland
8339,2015-09-23 00:00:00,landslide,continuous_rain,medium,above_road,India,Assam,91.7042,26.1666,Assam
4905,2013-06-07 00:00:00,landslide,unknown,medium,unknown,India,Nāgāland,94.7031,26.0977,Nagaland
9186,2016-07-25 12:30:00,landslide,continuous_rain,medium,above_road,India,Manipur,94.1383,25.48,Manipur
5107,2013-07-15 00:00:00,landslide,rain,medium,unknown,India,Nāgāland,94.1139,25.6269,Nagaland
7253,2015-07-22 00:00:00,landslide,continuous_rain,medium,urban,India,Assam,92.9974,24.7979,Assam
6286,2014-09-22 00:00:00,landslide,rain,small,unknown,India,Assam,91.7082,26.1044,Assam
594,2008-06-19 00:00:00,mudslide,monsoon,medium,unknown,India,Manipur,93.8275,24.9336,Manipur
5337,2013-08-16 00:00:00,landslide,rain,medium,unknown,India,Nāgāland,94.9731,26.4205,Nagaland
3881,2011-08-05 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,93.6885,27.1034,Arunachal Pradesh
3925,2011-08-15 00:00:00,landslide,downpour,medium,unknown,India,Arunāchal Pradesh,93.0153,27.4888,Arunachal Pradesh
