event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_name,admin_division_name,longitude,latitude,state_normalized,district,district_state,district_state_code,district_code,district_lgd,state_lgd
2164,2010-07-29 23:00:00,landslide,downpour,medium,unknown,India,Manipur,94.48214677,25.3098633,Manipur,Ukhrul,Manipur,14,279,260.0,14.0
5122,2013-07-17 00:00:00,mudslide,rain,medium,unknown,India,Nāgāland,93.9413,25.7658,Nagaland,Chumoukedima,Nagaland,13,818,758.0,13.0
5123,2013-07-17 00:00:00,mudslide,rain,medium,unknown,India,Nāgāland,94.0885,25.7131,Nagaland,Kohima,Nagaland,13,270,245.0,13.0
7370,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,India,Manipur,94.1078,24.1419,Manipur,Chandel,Manipur,14,280,253.0,14.0
5084,2013-07-12 23:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1167,25.616,Nagaland,Kohima,Nagaland,13,270,245.0,13.0
2566,2010-10-08 00:00:00,mudslide,downpour,medium,unknown,India,Nāgāland,94.1351,25.4769,Nagaland,Senapati,Manipur,14,272,257.0,14.0
1109,2009-08-20 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.1645,25.5215,Assam,Dima Hasao,Assam,18,315,299.0,18.0
1961,2010-06-09 14:15:00,landslide,downpour,medium,unknown,India,Meghālaya,91.2,25.8833,Meghalaya,Kamrup,Assam,18,321,291.0,18.0
2578,2010-10-09 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.0462,25.3179,Nagaland,Senapati,Manipur,14,272,257.0,14.0
322,2007-10-21 00:00:00,landslide,rain,medium,unknown,India,Assam,93.4333,24.75,Assam,Noney,Manipur,14,771,714.0,14.0
5552,2013-09-24 00:00:00,landslide,unknown,medium,unknown,India,Manipur,94.3619,25.0985,Manipur,Ukhrul,Manipur,14,279,260.0,14.0
7031,2015-05-24 00:00:00,landslide,unknown,medium,above_road,India,Sikkim,88.6586,27.6163,Sikkim,Mangan,Sikkim,11,241,226.0,11.0
2025,2010-06-28 00:00:00,landslide,downpour,medium,unknown,India,Meghālaya,91.885,25.5728,Meghalaya,East Khasi Hills,Meghalaya,17,298,274.0,17.0
9405,2016-04-19 00:00:00,landslide,continuous_rain,medium,unknown,India,Nagaland,95.0243,26.7223,Nagaland,Mon,Nagaland,13,261,247.0,13.0
5343,2013-08-17 23:00:00,landslide,continuous_rain,medium,unknown,India,Assam,93.4341,24.7625,Assam,Noney,Manipur,14,771,714.0,14.0
6971,2015-06-09 00:00:00,landslide,continuous_rain,medium,above_road,India,Arunachal Pradesh,93.816,27.0987,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,12,248,237.0,12.0
1611,2010-04-01 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.028,25.1553,Assam,Dima Hasao,Assam,18,315,299.0,18.0
147,2007-07-30 00:00:00,landslide,downpour,medium,unknown,India,Mizoram,92.899,22.533,Mizoram,Lawngtlai,Mizoram,15,287,264.0,15.0
4382,2012-06-03 00:00:00,landslide,downpour,medium,unknown,India,Assam,92.8573,25.1175,Assam,Dima Hasao,Assam,18,315,299.0,18.0
1112,2009-08-20 00:00:00,mudslide,downpour,medium,unknown,India,Sikkim,88.5287,27.1761,Sikkim,Gangtok,Sikkim,11,244,225.0,11.0
2424,2010-09-13 00:00:00,landslide,downpour,medium,unknown,India,Mizoram,92.9296,23.591,Mizoram,Aizawl,Mizoram,15,283,261.0,15.0
78,2007-05-23 00:00:00,landslide,rain,medium,unknown,India,Sikkim,88.6069,27.3383,Sikkim,Gangtok,Sikkim,11,244,225.0,11.0
