event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_name,admin_division_name,longitude,latitude,state_normalized,district,district_state,district_state_code,district_code,district_lgd,state_lgd,rainfall_7d,rainfall_48h,rainfall_24h,average_humidity_24h,soil_moisture,landslide
2164,2010-07-29 23:00:00,landslide,downpour,medium,unknown,India,Manipur,94.48214677,25.3098633,Manipur,Ukhrul,Manipur,14.0,279.0,260.0,14.0,101.0,15.2,12.6,90.08,0.493,1
5122,2013-07-17 00:00:00,mudslide,rain,medium,unknown,India,Nāgāland,93.9413,25.7658,Nagaland,Chumoukedima,Nagaland,13.0,818.0,758.0,13.0,151.9,87.8,75.8,89.17,0.441,1
5123,2013-07-17 00:00:00,mudslide,rain,medium,unknown,India,Nāgāland,94.0885,25.7131,Nagaland,Kohima,Nagaland,13.0,270.0,245.0,13.0,151.9,87.8,75.8,91.71,0.507,1
7370,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,India,Manipur,94.1078,24.1419,Manipur,Chandel,Manipur,14.0,280.0,253.0,14.0,491.1,287.6,163.3,99.96,0.479,1
5084,2013-07-12 23:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.1167,25.616,Nagaland,Kohima,Nagaland,13.0,270.0,245.0,13.0,73.0,16.7,14.6,90.42,0.462,1
2566,2010-10-08 00:00:00,mudslide,downpour,medium,unknown,India,Nāgāland,94.1351,25.4769,Nagaland,Senapati,Manipur,14.0,272.0,257.0,14.0,82.9,43.7,23.1,99.04,0.51,1
1109,2009-08-20 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.1645,25.5215,Assam,Dima Hasao,Assam,18.0,315.0,299.0,18.0,102.0,7.2,3.6,84.04,0.466,1
1961,2010-06-09 14:15:00,landslide,downpour,medium,unknown,India,Meghālaya,91.2,25.8833,Meghalaya,Kamrup,Assam,18.0,321.0,291.0,18.0,143.9,19.2,15.3,94.75,0.463,1
2578,2010-10-09 00:00:00,landslide,downpour,medium,unknown,India,Nāgāland,94.0462,25.3179,Nagaland,Senapati,Manipur,14.0,272.0,257.0,14.0,76.2,47.8,28.1,98.38,0.433,1
322,2007-10-21 00:00:00,landslide,rain,medium,unknown,India,Assam,93.4333,24.75,Assam,Noney,Manipur,14.0,771.0,714.0,14.0,75.2,16.0,10.8,95.75,0.414,1
5552,2013-09-24 00:00:00,landslide,unknown,medium,unknown,India,Manipur,94.3619,25.0985,Manipur,Ukhrul,Manipur,14.0,279.0,260.0,14.0,11.2,1.6,1.5,87.08,0.387,1
7031,2015-05-24 00:00:00,landslide,unknown,medium,above_road,India,Sikkim,88.6586,27.6163,Sikkim,Mangan,Sikkim,11.0,241.0,226.0,11.0,184.5,66.0,21.3,87.88,0.418,1
2025,2010-06-28 00:00:00,landslide,downpour,medium,unknown,India,Meghālaya,91.885,25.5728,Meghalaya,East Khasi Hills,Meghalaya,17.0,298.0,274.0,17.0,287.7,111.2,46.0,92.62,0.478,1
9405,2016-04-19 00:00:00,landslide,continuous_rain,medium,unknown,India,Nagaland,95.0243,26.7223,Nagaland,Mon,Nagaland,13.0,261.0,247.0,13.0,83.0,25.7,22.9,92.42,0.484,1
5343,2013-08-17 23:00:00,landslide,continuous_rain,medium,unknown,India,Assam,93.4341,24.7625,Assam,Noney,Manipur,14.0,771.0,714.0,14.0,82.4,23.1,7.9,94.75,0.415,1
6971,2015-06-09 00:00:00,landslide,continuous_rain,medium,above_road,India,Arunachal Pradesh,93.816,27.0987,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,12.0,248.0,237.0,12.0,148.3,70.1,44.0,94.58,0.439,1
1611,2010-04-01 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.028,25.1553,Assam,Dima Hasao,Assam,18.0,315.0,299.0,18.0,122.3,81.5,20.7,95.67,0.424,1
147,2007-07-30 00:00:00,landslide,downpour,medium,unknown,India,Mizoram,92.899,22.533,Mizoram,Lawngtlai,Mizoram,15.0,287.0,264.0,15.0,57.2,3.5,1.3,87.54,0.402,1
4382,2012-06-03 00:00:00,landslide,downpour,medium,unknown,India,Assam,92.8573,25.1175,Assam,Dima Hasao,Assam,18.0,315.0,299.0,18.0,182.9,138.6,20.9,92.04,0.502,1
1112,2009-08-20 00:00:00,mudslide,downpour,medium,unknown,India,Sikkim,88.5287,27.1761,Sikkim,Gangtok,Sikkim,11.0,244.0,225.0,11.0,499.7,52.9,23.7,96.21,0.436,1
2424,2010-09-13 00:00:00,landslide,downpour,medium,unknown,India,Mizoram,92.9296,23.591,Mizoram,Aizawl,Mizoram,15.0,283.0,261.0,15.0,61.5,18.8,6.5,93.83,0.421,1
78,2007-05-23 00:00:00,landslide,rain,medium,unknown,India,Sikkim,88.6069,27.3383,Sikkim,Gangtok,Sikkim,11.0,244.0,225.0,11.0,73.3,18.6,11.3,90.58,0.436,1
5431,2013-09-01 00:00:00,mudslide,continuous_rain,medium,unknown,India,Assam,93.5063,24.9829,Assam,Tamenglong,Manipur,14.0,273.0,258.0,14.0,81.7,3.0,1.2,89.88,0.398,1
3672,2011-06-29 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.3613,25.5125,Assam,Dima Hasao,Assam,18.0,315.0,299.0,18.0,24.6,11.6,1.7,87.88,0.438,1
2253,2010-08-15 23:00:00,landslide,downpour,medium,unknown,India,Manipur,94.48265093,25.31006064,Manipur,Ukhrul,Manipur,14.0,279.0,260.0,14.0,135.5,28.1,20.5,92.17,0.466,1
1108,2009-08-20 00:00:00,landslide,downpour,medium,unknown,India,Assam,93.5,24.9925,Assam,Tamenglong,Manipur,14.0,273.0,258.0,14.0,84.0,14.8,6.9,94.62,0.421,1
6105,2014-06-26 23:00:00,landslide,continuous_rain,medium,above_road,India,Arunachal Pradesh,95.3429,28.9205,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,12.0,257.0,230.0,12.0,156.5,40.9,14.4,94.38,0.425,1
9168,2016-06-12 23:00:00,landslide,downpour,medium,above_road,India,Arunachal Pradesh,93.871,27.6438,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,12.0,255.0,236.0,12.0,146.0,26.3,12.7,89.83,0.424,1
3560,2011-05-31 14:30:00,landslide,downpour,medium,unknown,India,Manipur,93.5935,24.8286,Manipur,Noney,Manipur,14.0,771.0,714.0,14.0,84.9,44.0,26.2,96.79,0.454,1
587,2008-06-15 00:00:00,landslide,downpour,medium,unknown,India,Assam,94.0989,27.2298,Assam,Lakhimpur,Assam,18.0,307.0,295.0,18.0,135.0,69.8,40.2,91.25,0.405,1
8012,2015-09-06 15:00:00,landslide,unknown,medium,above_road,India,Meghalaya,91.8584,25.9703,Meghalaya,Ri Bhoi,Meghalaya,17.0,297.0,276.0,17.0,465.3,45.9,3.5,89.25,0.468,1
7335,2015-08-18 09:00:00,landslide,continuous_rain,medium,urban,India,Meghalaya,90.2023,25.5145,Meghalaya,West Garo Hills,Meghalaya,17.0,293.0,278.0,17.0,84.1,36.8,28.2,92.46,0.443,1
